Date,gross,net
2020-11-30,-0.2828955180613471,-0.40164551806134763
2020-12-01,-0.2862849840433409,-0.40528498404334146
2020-12-02,-0.29799026083422414,-0.4172402608342247
2020-12-03,-0.3178969294982042,-0.43739692949820475
2020-12-04,-0.2986165768426271,-0.4183665768426277
2020-12-07,-0.3057238853425281,-0.4257238853425287
2020-12-08,-0.3064061996107635,-0.42665619961076406
2020-12-09,-0.3159627234305679,-0.43646272343056847
2020-12-10,-0.32317872824261706,-0.44392872824261764
2020-12-11,-0.3233622434312534,-0.44436224343125397
2020-12-14,-0.3155897114217968,-0.4368397114217974
2020-12-15,-0.31538083228269986,-0.43688083228270047
2020-12-16,-0.3106413061312027,-0.4323913061312033
2020-12-17,-0.3111598036701095,-0.43315980367011003
2020-12-18,-0.30748080570965164,-0.42973080570965216
2020-12-21,-0.2974220509521614,-0.41992205095216195
2020-12-22,-0.29831886677741365,-0.42106886677741423
2020-12-23,-0.3027803321361317,-0.42578033213613226
2020-12-24,-0.30624472500120664,-0.4294947250012072
2020-12-28,-0.3164218078681616,-0.43992180786816215
2020-12-29,-0.31142215919930544,-0.43517215919930596
2020-12-30,-0.3179332554000038,-0.44193325540000433
2020-12-31,-0.32872432745250235,-0.45297432745250293
2021-01-07,-0.33878607694274615,-0.4632860769427467
2021-01-08,-0.3176346462185021,-0.4423846462185027
2021-01-11,-0.30336911539741995,-0.4283691153974205
2021-01-12,-0.3222520814445463,-0.44750208144454684
2021-01-13,-0.3165904109511261,-0.4420904109511266
2021-01-14,-0.3510890409282508,-0.47683904092825125
2021-01-15,-0.35035338131565086,-0.47635338131565136
2021-01-19,-0.3594343288405199,-0.48568432884052043
2021-01-20,-0.35347314846022115,-0.47997314846022165
2021-01-21,-0.35618901507312084,-0.48293901507312137
2021-01-22,-0.3719417884339354,-0.4989417884339359
2021-01-25,-0.3775552720725229,-0.5048052720725233
2021-01-26,-0.3963701771150062,-0.5238701771150067
2021-01-27,-0.3877865665145678,-0.5155365665145683
2021-01-28,-0.4053068393244022,-0.5333068393244027
2021-01-29,-0.39509514760063846,-0.523345147600639
2021-02-01,-0.37742083034507795,-0.5059208303450785
2021-02-02,-0.3695430458059167,-0.4982930458059172
2021-02-03,-0.3664850191928276,-0.49548501919282817
2021-02-04,-0.3609896145091711,-0.49023961450917164
2021-02-05,-0.3377213234199633,-0.46722132341996386
2021-02-08,-0.3417366208771362,-0.4714866208771367
2021-02-09,-0.34784092921741994,-0.4778409292174205
2021-02-10,-0.3494231463761505,-0.47967314637615105
2021-02-11,-0.33135639562913133,-0.46185639562913183
2021-02-12,-0.3057931753676152,-0.43654317536761567
2021-02-16,-0.3244080047161335,-0.45540800471613396
2021-02-17,-0.33837428350935733,-0.4696242835093578
2021-02-18,-0.30466819472141443,-0.4361681947214149
2021-02-19,-0.28627359162089655,-0.418023591620897
2021-02-22,-0.2832464270336289,-0.41524642703362935
2021-02-23,-0.24891791015249237,-0.38116791015249285
2021-02-24,-0.265465215829784,-0.39796521582978445
2021-02-25,-0.26973869307195475,-0.4024886930719552
2021-02-26,-0.25420653383945135,-0.3872065338394518
2021-03-01,-0.24426735236543062,-0.3775173523654311
2021-03-02,-0.22750747263367926,-0.3610074726336797
2021-03-03,-0.23115332519445922,-0.36490332519445967
2021-03-04,-0.22705200960292976,-0.3610520096029302
2021-03-05,-0.19474316189869062,-0.3289931618986911
2021-03-08,-0.2392120593642546,-0.37371205936425506
2021-03-09,-0.2269523356617087,-0.3617023356617091
2021-03-10,-0.2416867404842776,-0.376686740484278
2021-03-11,-0.22545804977967665,-0.3607080497796771
2021-03-12,-0.24080389834497587,-0.3763038983449763
2021-03-15,-0.26867934457638915,-0.40442934457638957
2021-03-16,-0.252229596787944,-0.3882295967879444
2021-03-17,-0.2643903232357764,-0.40064032323577675
2021-03-18,-0.2705801039786652,-0.4070801039786656
2021-03-19,-0.29659804767848397,-0.43334804767848434
2021-03-22,-0.321732964729142,-0.4587329647291423
2021-03-23,-0.31597101347131756,-0.4532210134713179
2021-03-24,-0.3033958388089687,-0.440895838808969
2021-03-25,-0.3201172834565817,-0.457867283456582
2021-03-26,-0.34397528080280987,-0.4819752808028102
2021-03-29,-0.3181762485000049,-0.4564262485000053
2021-03-30,-0.34097581949361044,-0.47947581949361084
2021-03-31,-0.3450828582249472,-0.48383285822494765
2021-04-01,-0.35087883962469846,-0.4898788396246989
2021-04-05,-0.3444732001770496,-0.48372320017705
2021-04-06,-0.34505156057125114,-0.48455156057125154
2021-04-07,-0.35569673782206684,-0.4954467378220673
2021-04-08,-0.35618344922341927,-0.49618344922341967
2021-04-09,-0.3548792717416568,-0.4951292717416572
2021-04-12,-0.3696015556077182,-0.5101015556077186
2021-04-13,-0.34882137288681014,-0.48957137288681063
2021-04-14,-0.3704746216449049,-0.5114746216449054
2021-04-15,-0.37685835135816903,-0.5181083513581696
2021-04-16,-0.3739750123664257,-0.5154750123664262
2021-04-19,-0.40550862732983967,-0.5472586273298402
2021-04-20,-0.39509921415841814,-0.5370992141584187
2021-04-21,-0.3914350449214153,-0.5336850449214158
2021-04-22,-0.3787247848964969,-0.5212247848964974
2021-04-23,-0.3695233691764647,-0.5122733691764652
2021-04-26,-0.3563397999894782,-0.49933979998947864
2021-04-27,-0.3492018823779519,-0.49245188237795234
2021-04-28,-0.3307197502949775,-0.4742197502949779
2021-04-29,-0.3557231911079997,-0.4994731911080001
2021-04-30,-0.3401113573225216,-0.484111357322522
2021-05-03,-0.3338070402418052,-0.4780570402418055
2021-05-04,-0.31048823713632345,-0.4549882371363238
2021-05-05,-0.30947700372844694,-0.4542270037284473
2021-05-06,-0.2925978608072737,-0.43759786080727403
2021-05-07,-0.2878615115311524,-0.4331115115311528
2021-05-10,-0.31769269260584493,-0.4631926926058453
2021-05-11,-0.3068255853136729,-0.4525755853136732
2021-05-12,-0.3082314285801543,-0.45423142858015464
2021-05-13,-0.29320749061083473,-0.43945749061083506
2021-05-14,-0.27596579155524276,-0.42246579155524305
2021-05-17,-0.29559311675578964,-0.4423431167557899
2021-05-18,-0.31609995595588475,-0.463099955955885
2021-05-19,-0.3322553252254329,-0.47950532522543315
2021-05-20,-0.3165809333019309,-0.4640809333019311
2021-05-21,-0.3156047420819264,-0.4633547420819267
2021-05-24,-0.3277642435780787,-0.475764243578079
